CiteScore metrics calculated using data from 30 April, 2018. SNIP and SJR calculated using data from 30 April, 2018																				
Scopus SourceID	Title	CiteScore	Percentile	Citation Count	Scholarly Output	Percent Cited	SNIP	SJR	RANK	Rank Out Of	Publisher	Type	OpenAccess	Scopus ASJC Code (Sub-subject Area)	Scopus Sub-Subject Area	Quartile	Top 10% (CiteScore Percentile)	Scopus SourceID	Print-ISSN	E-ISSN
19900191906	Academy of Management Annals	13.22	99	608	46	96	10.091	11.231	1	340	Taylor & Francis	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19900191906	19416520	19416067
29431	Quarterly Journal of Economics	10.67	99	1291	121	95	8.529	29.602	1	564	Oxford University Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/29431	00335533	15314650
23860	Journal of Business Venturing	8.82	99	1173	133	94	4.204	5.212	2	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/23860	08839026	
22951	Journal of Marketing	8.37	99	1063	127	93	3.975	8.616	3	340	American Marketing Association	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/22951	00222429	15477185
20635	Journal of Management	8.03	99	1896	236	94	4.674	6.462	1	226	SAGE	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/20635	01492063	
28980	Journal of Economic Perspectives	7.44	99	1108	149	82	6.920	7.374	2	564	American Economic Association	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/28980	08953309	
20191	Academy of Management Journal	7.44	98	1874	252	96	3.663	8.548	4	340	Academy of Management	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/20191	00014273	
24392	Journal of International Business Studies	7.27	99	1236	170	95	3.260	5.198	3	564	Springer Nature	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/24392	00472506	14786990
24392	Journal of International Business Studies	7.27	98	1236	170	95	3.260	5.198	5	340	Springer Nature	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/24392	00472506	14786990
100147317	Journal of Supply Chain Management	7.04	99	472	67	96	2.934	5.015	1	86	Wiley-Blackwell	Journal	NO	2001	Economics, Econometrics and Finance (miscellaneous)	Quartile 1	Top 10%	https://www.scopus.com/sourceid/100147317	15232409	
24385	Journal of the Academy of Marketing Science	6.85	99	952	139	87	3.654	4.614	4	564	Springer Nature	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/24385	00920703	
24385	Journal of the Academy of Marketing Science	6.85	98	952	139	87	3.654	4.614	6	340	Springer Nature	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/24385	00920703	
17500	Journal of Finance	6.81	99	1540	226	88	5.805	18.318	2	226	Wiley-Blackwell	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/17500	00221082	15406261
17500	Journal of Finance	6.81	99	1540	226	88	5.805	18.318	5	564	Wiley-Blackwell	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/17500	00221082	15406261
22928	Journal of Interactive Marketing	6.57	98	440	67	88	2.345	3.400	7	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/22928	10949968	15206653
23157	Strategic Management Journal	6.42	97	2593	404	91	3.553	8.006	8	340	Wiley-Blackwell	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/23157	01432095	10970266
27165	Journal of Economic Literature	6.12	99	416	68	72	5.595	7.339	6	564	American Economic Association	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/27165	00220515	
100147318	Entrepreneurship Theory and Practice	5.98	98	1065	178	80	2.702	3.648	7	564	Wiley-Blackwell	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/100147318	10422587	
100147318	Entrepreneurship Theory and Practice	5.98	97	1065	178	80	2.702	3.648	9	340	Wiley-Blackwell	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/100147318	10422587	
24379	Journal of Financial Economics	5.79	98	2002	346	91	4.531	12.489	3	226	Elsevier	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/24379	0304405X	
24379	Journal of Financial Economics	5.79	98	2002	346	91	4.531	12.489	8	564	Elsevier	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/24379	0304405X	
24870	Journal of Human Resources	5.67	98	544	96	84	4.638	7.563	9	564	University of Wisconsin Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/24870	0022166X	15488004
22961	Journal of Marketing Research	5.57	98	936	168	90	2.471	7.819	10	564	American Marketing Association	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/22961	00222437	15477193
22961	Journal of Marketing Research	5.57	97	936	168	90	2.471	7.819	10	340	American Marketing Association	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/22961	00222437	15477193
23406	Business Strategy and the Environment	5.55	96	727	131	95	2.144	1.881	11	340	Wiley-Blackwell	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/23406	09644733	10990836
19165	International Journal of Production Economics	5.42	98	5478	1010	86	2.386	2.401	11	564	Elsevier	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19165	09255273	
16161	Review of Financial Studies	5.31	98	1456	274	88	4.124	14.237	4	226	Oxford University Press	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/16161	08939454	14657368
16161	Review of Financial Studies	5.31	97	1456	274	88	4.124	14.237	12	564	Oxford University Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/16161	08939454	14657368
26424	Resources, Conservation and Recycling	5.31	97	2628	495	93	2.110	1.462	12	564	Elsevier	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/26424	09213449	
28978	Journal of Economic Growth	5.27	97	195	37	86	4.092	5.529	14	564	Springer Nature	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/28978	13814338	15737020
22697	American Economic Review	5.17	97	4033	780	78	4.642	12.047	15	564	American Economic Association	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/22697	00028282	
20650	Journal of Management Studies	5.07	96	775	153	84	2.529	3.804	12	340	Wiley-Blackwell	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/20650	00222380	14676486
19696	International Journal of Project Management	5.06	96	2081	411	91	2.791	1.463	13	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19696	02637863	
19482	Econometrica	5.01	97	936	187	88	4.540	19.932	16	564	Wiley-Blackwell	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19482	00129682	14680262
24404	Journal of Political Economy	4.93	97	542	110	90	4.136	16.309	17	564	University of Chicago Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/24404	00223808	1537534X
19700180841	Surveys in Operations Research and Management Science	4.85	96	97	20	85	4.991	2.725	18	564	Elsevier	Book Series	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19700180841	18767354	
17493	Internet Research	4.72	96	618	131	87	1.928	1.645	19	564	Emerald	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/17493	10662243	
22899	Journal of Consumer Research	4.57	96	965	211	85	2.960	5.856	14	340	Oxford University Press	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/22899	00935301	15375277
22899	Journal of Consumer Research	4.57	96	965	211	85	2.960	5.856	20	564	Oxford University Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/22899	00935301	15375277
11600153422	Review of Environmental Economics and Policy	4.54	96	254	56	73	2.506	2.459	21	564	Oxford University Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/11600153422	17506816	
35048	Food Policy	4.53	96	1492	329	87	2.453	1.950	22	564	Elsevier	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/35048	03069192	
12277	Management Accounting Research	4.53	98	299	66	83	2.881	1.426	5	226	Elsevier	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/12277	10445005	10961224
28552	International Small Business Journal	4.48	95	659	147	85	2.170	1.974	15	340	SAGE	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/28552	02662426	
18400156711	Cambridge Journal of Regions, Economy and Society	4.46	96	459	103	83	2.069	2.438	23	564	Oxford University Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/18400156711	17521378	
21149	Leadership Quarterly	4.41	95	957	217	84	2.598	3.130	16	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/21149	10489843	
29400	Journal of World Business	4.38	97	925	211	87	2.171	1.722	6	226	Elsevier	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/29400	10909516	
29400	Journal of World Business	4.38	95	925	211	87	2.171	1.722	17	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/29400	10909516	
29838	Journal of Accounting and Economics	4.36	97	510	117	83	3.311	6.875	7	226	Elsevier	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/29838	01654101	
