journal,publisher3,start_volume,last_update,start_volume_url
American Economic Journal: Macroeconomics,aea,12,2019-04-08 11:04:22,https://www.aeaweb.org/journals/mac/issues/vol/12
International Review of Finance,wly,19,2019-04-08 11:04:22,https://onlinelibrary.wiley.com/loi/14682443/vol/19
Journal of Behavioral Finance,tyr,20,2019-04-08 11:04:22,https://www.tandfonline.com/loi/hbhf/vol/20
Journal of Corporate Real Estate,emd,21,2019-04-08 11:04:22,https://www.emeraldinsight.com/journal/jcre/vol/21
Journal of Economic Perspectives,aea,34,2019-04-08 11:04:22,https://www.aeaweb.org/journals/jep/issues/vol/34
Journal of Empirical Finance,elr,51,2019-04-08 11:04:22,https://www.sciencedirect.com/journal/journal-of-empirical-finance/vol/51
Journal of Financial and Quantitative Analysis,cup,52,2019-04-08 11:04:22,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/all-issues/vol/52
Journal of Financial Econometrics,oup,17,2019-04-08 11:04:22,https://academic.oup.com/jfec/issue/vol/17
Journal of Financial Markets,elr,43,2019-03-03 14:27:33,https://www.sciencedirect.com/journal/journal-of-financial-markets/vol/43
Journal of Financial Stability,elr,41,2019-04-08 11:04:22,https://www.sciencedirect.com/journal/journal-of-financial-stability/vol/41
"Journal of International Financial Markets, Institutions and Money",elr,59,2019-03-03 14:27:33,https://www.sciencedirect.com/journal/journal-of-international-financial-markets-institutions-and-money/vol/59
"Journal of Money, Credit and Banking",wly,52,2019-04-08 11:04:22,https://onlinelibrary.wiley.com/loi/15384616/vol/52
Quantitative Finance,tyr,18,2019-04-08 11:04:22,https://www.tandfonline.com/loi/rquf/vol/18
Review of Development Finance,elr,9,2019-03-03 14:27:33,https://www.sciencedirect.com/journal/review-of-development-finance/vol/9
Review of Finance,oup,24,2019-04-08 11:04:22,https://academic.oup.com/rof/issue/vol/24
The Journal of Finance,wly,75,2019-04-08 11:04:22,https://onlinelibrary.wiley.com/loi/15406261/vol/75
The Quarterly Journal of Economics,oup,135,2019-04-08 11:04:22,https://academic.oup.com/qje/issue/vol/135
